Network;Country;Address;Subnet;Accuracy
74.217.48.0;US;United States;74.217.48.0/24;1000
74.201.55.0;US;Newbury Park;74.201.54.0/23;1000
66.151.154.0;US;United States;66.151.154.0/24;1000
66.150.97.0;US;United States;66.150.96.0/23;1000
64.94.27.0;US;United States;64.94.26.0/23;1000
64.74.28.0;US;United States;64.74.28.0/24;1000
64.74.141.0;US;United States;64.74.141.0/25;1000
207.66.112.0;SG;Singapore;207.66.112.0/23;1000
159.100.160.0;US;Utah;159.100.160.0/28;1000
216.221.30.0;US;Texas;216.221.30.0/23;500
216.221.28.0;US;Ashburn;216.221.28.0/23;500
216.221.26.0;US;Chicago;216.221.26.0/23;500
216.221.24.0;US;San Jose;216.221.24.0/23;500
192.40.64.0;US;Alameda;192.40.64.0/26;500
159.100.170.0;US;Georgia;159.100.170.0/23;500
159.100.170.0;US;Georgia;159.100.170.0/23;500
159.100.171.0;US;Georgia;159.100.170.0/23;500
159.100.167.0;US;California;159.100.167.0/24;500
159.100.166.0;US;San Jose;159.100.166.0/24;500
159.100.166.0;US;San Jose;159.100.166.0/24;500
159.100.165.0;DE;Germany;159.100.165.0/24;500
159.100.164.0;US;Roslyn;159.100.164.0/28;500
159.100.163.0;US;Fort Lauderdale;159.100.163.0/24;500
159.100.162.0;US;Fort Lauderdale;159.100.162.0/24;500
159.100.161.0;US;Atlanta;159.100.161.0/28;500
104.193.31.0;US;West Linn;104.193.31.0/26;500
104.193.29.0;US;Grand Prairie;104.193.29.0/25;500
104.193.28.0;US;Akron;104.193.28.0/27;500
64.186.30.0;CA;Ontario;64.186.30.0/23;200
64.186.28.0;CA;British Columbia;64.186.28.0/23;200
64.186.26.0;US;Washington;64.186.26.0/23;200
64.186.24.0;US;East Setauket;64.186.24.0/23;200
136.144.98.0;GB;London;136.144.98.0/23;200
136.144.96.0;FR;Paris;136.144.96.0/23;200
136.144.106.0;IE;Ireland;136.144.106.0/23;200
136.144.104.0;IT;Italy;136.144.104.0/23;200
136.144.102.0;DE;Frankfurt am Main;136.144.102.0/23;200
136.144.100.0;GB;London;136.144.100.0/23;200
104.193.30.0;US;Chicago;104.193.30.0/26;200
159.100.174.0;US;Phoenix;159.100.174.0/23;100
159.100.174.0;US;Phoenix;159.100.174.0/23;100
159.100.175.0;US;Phoenix;159.100.174.0/23;100
159.100.172.0;US;Colorado;159.100.172.0/23;100
159.100.172.0;US;Colorado;159.100.172.0/23;100
159.100.173.0;US;Colorado;159.100.172.0/23;100
159.100.169.0;US;Fullerton;159.100.169.0/24;100
159.100.168.0;US;Lynwood;159.100.168.0/27;100
103.48.254.0;AU;Sydney;103.48.254.0/23;20
103.48.254.0;AU;Sydney;103.48.254.0/23;20
103.48.255.0;AU;Sydney;103.48.254.0/23;20
103.48.252.0;JP;Tokyo;103.48.252.0/23;20
103.48.252.0;JP;Tokyo;103.48.252.0/23;20
103.48.252.0;JP;Tokyo;103.48.252.0/23;20
103.48.253.0;JP;Tokyo;103.48.252.0/23;20
